epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.0883,2.74648,2.96944,1.47106,0.13905,0.27341,0.11965,0.02584,2.4101,3.17914,1.24067,0.000392982,0.000392982,0.000392982
2,88.5671,2.6166,2.15198,1.32988,0.36251,0.47285,0.37538,0.11034,2.29939,1.86984,1.28587,0.000792789,0.000792789,0.000792789
3,149.697,2.54576,1.72595,1.30509,0.40671,0.53464,0.40913,0.13008,2.48006,2.0989,1.27031,0.00119182,0.00119182,0.00119182
4,212.746,2.56834,1.61246,1.38888,0.60655,0.65449,0.62514,0.20596,2.36021,1.57119,1.33255,0.00158948,0.00158948,0.00158948
5,278.639,2.55641,1.55155,1.38547,0.36811,0.5542,0.3509,0.12588,2.36065,2.18184,1.32016,0.0019852,0.0019852,0.0019852
6,365.71,2.52564,1.51821,1.40994,0.67615,0.68352,0.68746,0.24788,2.27651,1.58842,1.31659,0.00198781,0.00198781,0.00198781
7,458.78,2.45586,1.45192,1.35037,0.56189,0.61724,0.57851,0.22754,2.14762,1.41556,1.2481,0.00198246,0.00198246,0.00198246
8,553.36,2.4395,1.45755,1.35804,0.43431,0.61236,0.43671,0.1277,2.6237,1.62238,1.40623,0.00197616,0.00197616,0.00197616
9,654.337,2.39755,1.43345,1.35184,0.62042,0.67491,0.63936,0.22517,2.23225,1.36457,1.27163,0.0019689,0.0019689,0.0019689
10,759.6,2.38624,1.37638,1.3107,0.69769,0.73783,0.73679,0.26813,2.2365,1.22118,1.278,0.00196069,0.00196069,0.00196069
11,867.409,2.36996,1.33479,1.27572,0.72041,0.68633,0.72422,0.24971,2.31099,1.262,1.26524,0.00195155,0.00195155,0.00195155
12,957.078,2.31913,1.31775,1.29095,0.66507,0.68352,0.68031,0.26521,2.18557,1.33222,1.22831,0.00194147,0.00194147,0.00194147
13,1050.83,2.32124,1.31699,1.29419,0.75417,0.78184,0.79002,0.30227,2.20518,1.17152,1.26271,0.00193048,0.00193048,0.00193048
14,1154.94,2.33846,1.27424,1.29961,0.78455,0.80243,0.81213,0.32142,2.15664,1.18294,1.22605,0.00191858,0.00191858,0.00191858
15,1258.85,2.32418,1.29017,1.31265,0.72406,0.73689,0.73449,0.24936,2.39822,1.22494,1.3354,0.00190578,0.00190578,0.00190578
16,1368.73,2.31514,1.27895,1.30125,0.83755,0.80431,0.85341,0.36275,2.03424,1.09965,1.20611,0.0018921,0.0018921,0.0018921
17,1475.88,2.28992,1.26892,1.27297,0.79144,0.7888,0.82469,0.30668,2.2465,1.13831,1.25753,0.00187754,0.00187754,0.00187754
18,1590.56,2.26266,1.24046,1.26531,0.77647,0.80664,0.83023,0.34663,2.062,1.10053,1.20681,0.00186213,0.00186213,0.00186213
