epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.7905,3.16844,3.26574,1.25566,0.08667,0.17041,0.05074,0.0137,2.71877,3.41078,1.02061,0.000386207,0.000386207,0.000386207
2,24.9069,2.71927,2.46652,1.06727,0.0819,0.16105,0.08901,0.02078,2.81599,3.10366,1.04284,0.000786015,0.000786015,0.000786015
3,36.0561,2.63151,1.88271,1.04611,0.24476,0.48127,0.33319,0.0873,2.64985,2.34617,1.00989,0.00118505,0.00118505,0.00118505
4,48.8902,2.65867,1.49677,1.05399,0.47304,0.5412,0.42822,0.12221,2.79317,1.39337,1.07542,0.00158272,0.00158272,0.00158272
5,61.2627,2.69567,1.32316,1.06561,0.62286,0.64638,0.62827,0.20284,2.59448,1.44338,1.01851,0.00197845,0.00197845,0.00197845
6,73.6729,2.56984,1.25032,1.03856,0.64807,0.71899,0.68136,0.22138,2.53971,2.18388,1.01115,0.00198781,0.00198781,0.00198781
7,85.9564,2.53821,1.2186,1.03942,0.63762,0.69101,0.6646,0.21713,2.51459,2.42905,1.00382,0.00198246,0.00198246,0.00198246
8,98.5629,2.5015,1.19493,1.0322,0.61486,0.67509,0.63594,0.2123,2.52296,2.27097,1.00003,0.00197616,0.00197616,0.00197616
9,112.398,2.50202,1.17388,1.02753,0.62809,0.75375,0.68086,0.25704,2.28459,1.85694,0.96959,0.0019689,0.0019689,0.0019689
10,128.13,2.50141,1.17236,1.02761,0.6076,0.70607,0.63264,0.17848,2.69157,1.49626,1.03144,0.00196069,0.00196069,0.00196069
11,143.313,2.4587,1.15471,1.02434,0.65101,0.70412,0.70087,0.26093,2.27713,1.15521,0.96304,0.00195155,0.00195155,0.00195155
12,156.837,2.36154,1.11385,1.00639,0.63129,0.73907,0.68955,0.23274,2.44078,1.16691,0.9952,0.00194147,0.00194147,0.00194147
13,171.568,2.37943,1.10755,1.01042,0.64149,0.76217,0.72843,0.27531,2.25317,1.13909,0.9643,0.00193048,0.00193048,0.00193048
14,185.665,2.36498,1.10492,1.00428,0.65764,0.73783,0.72905,0.25595,2.32108,1.17481,0.96559,0.00191858,0.00191858,0.00191858
15,197.921,2.34554,1.09397,1.0027,0.66591,0.73221,0.73925,0.26992,2.32494,1.09793,0.96661,0.00190578,0.00190578,0.00190578
16,216.077,2.40107,1.10477,1.01051,0.71255,0.75562,0.77215,0.2761,2.33649,1.08739,0.96379,0.0018921,0.0018921,0.0018921
17,230.168,2.32333,1.08035,0.99636,0.73168,0.76311,0.77602,0.30766,2.19933,1.0442,0.95795,0.00187754,0.00187754,0.00187754
18,245.127,2.31223,1.08217,0.99445,0.74082,0.77341,0.78848,0.32016,2.1574,1.01821,0.95115,0.00186213,0.00186213,0.00186213
19,260.063,2.3074,1.06531,0.99347,0.72867,0.73034,0.75534,0.24985,2.44119,1.06429,0.98148,0.00184588,0.00184588,0.00184588
20,273.084,2.26807,1.0435,0.98521,0.74666,0.76498,0.7966,0.30028,2.24855,1.01491,0.95856,0.00182881,0.00182881,0.00182881
21,287.888,2.24924,1.03566,0.98107,0.7307,0.7603,0.77502,0.28585,2.30714,1.03805,0.97545,0.00181093,0.00181093,0.00181093
22,301.486,2.21819,1.03569,0.97736,0.73308,0.77146,0.7776,0.28601,2.30044,1.05313,0.96237,0.00179225,0.00179225,0.00179225
23,315.544,2.20637,1.02256,0.97515,0.75137,0.77622,0.80147,0.2987,2.24224,1.02243,0.955,0.00177281,0.00177281,0.00177281
24,331.473,2.28518,1.06516,0.98561,0.73773,0.76907,0.79413,0.29748,2.26536,1.05482,0.95845,0.00175261,0.00175261,0.00175261
25,346.604,2.23511,1.02606,0.97896,0.77745,0.77194,0.81365,0.32169,2.16435,1.01673,0.94443,0.00173168,0.00173168,0.00173168
26,364.849,2.2036,1.02151,0.97459,0.7438,0.76659,0.78552,0.28138,2.31881,1.06468,0.95997,0.00171004,0.00171004,0.00171004
27,378.069,2.14353,1.00004,0.96555,0.74816,0.80388,0.81582,0.34157,2.08086,1.00116,0.93647,0.0016877,0.0016877,0.0016877
28,394.576,2.13778,0.99463,0.96202,0.70073,0.71442,0.70959,0.21969,2.58019,1.10317,1.01609,0.0016647,0.0016647,0.0016647
29,409.829,2.19562,0.99266,0.97114,0.73811,0.76498,0.78628,0.26679,2.38664,1.05236,0.9692,0.00164105,0.00164105,0.00164105
30,426.491,2.13775,0.98622,0.96075,0.76632,0.79307,0.8217,0.3295,2.14603,0.97515,0.94291,0.00161678,0.00161678,0.00161678
31,441.916,2.11269,0.97517,0.95929,0.72521,0.76685,0.78808,0.28973,2.30492,1.02333,0.96257,0.00159191,0.00159191,0.00159191
32,458.701,2.11262,0.98318,0.95759,0.75235,0.79646,0.80694,0.31735,2.19582,0.97946,0.95574,0.00156646,0.00156646,0.00156646
33,476.374,2.10361,0.9711,0.95645,0.77103,0.81086,0.82435,0.34317,2.09493,0.97437,0.93737,0.00154047,0.00154047,0.00154047
