epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.0163,2.70337,2.93082,1.49774,0.19238,0.37828,0.20682,0.05471,2.36537,3.1658,1.2156,0.000392982,0.000392982,0.000392982
2,72.7871,2.48214,1.98687,1.32084,0.69803,0.61049,0.66863,0.22617,2.2084,1.64118,1.20384,0.000792789,0.000792789,0.000792789
3,117.742,2.44038,1.53056,1.33452,0.64631,0.69007,0.692,0.24378,2.3607,1.48186,1.26202,0.00119182,0.00119182,0.00119182
4,165.009,2.36752,1.39697,1.33412,0.44243,0.52434,0.4494,0.13895,2.64654,2.12561,1.41584,0.00158948,0.00158948,0.00158948
5,216.24,2.43921,1.42754,1.385,0.68201,0.70087,0.71406,0.24335,2.38058,1.40761,1.34201,0.0019852,0.0019852,0.0019852
6,270.187,2.42046,1.42811,1.38489,0.55382,0.67408,0.59171,0.21856,2.36316,1.68871,1.34701,0.00198781,0.00198781,0.00198781
7,326.956,2.27745,1.3671,1.34,0.73051,0.7386,0.74848,0.31373,2.08225,1.28415,1.22797,0.00198246,0.00198246,0.00198246
8,388.685,2.34389,1.3511,1.34233,0.72549,0.75722,0.75187,0.28203,2.15036,1.29674,1.22447,0.00197616,0.00197616,0.00197616
9,447.586,2.31983,1.30563,1.36394,0.75999,0.77341,0.78382,0.30233,2.11754,1.26544,1.21436,0.0019689,0.0019689,0.0019689
10,515.067,2.28188,1.29966,1.33707,0.71971,0.73328,0.7586,0.31848,2.07868,1.30168,1.20562,0.00196069,0.00196069,0.00196069
11,576.005,2.31468,1.31225,1.33708,0.66948,0.71536,0.70573,0.2375,2.32358,1.32165,1.28674,0.00195155,0.00195155,0.00195155
12,646.708,2.2277,1.25846,1.31049,0.72807,0.77965,0.77403,0.29215,2.20424,1.13959,1.26006,0.00194147,0.00194147,0.00194147
13,719.723,2.2814,1.28084,1.31187,0.76581,0.79588,0.80066,0.33048,2.06846,1.12003,1.19656,0.00193048,0.00193048,0.00193048
14,793.682,2.25534,1.23029,1.32156,0.75205,0.80089,0.78732,0.29598,2.18917,1.11578,1.23709,0.00191858,0.00191858,0.00191858
15,864.905,2.32965,1.2561,1.32045,0.69148,0.71161,0.72941,0.26338,2.19119,1.24348,1.24942,0.00190578,0.00190578,0.00190578
16,934.65,2.24737,1.26338,1.31669,0.78233,0.78371,0.81017,0.31627,2.08918,1.11183,1.22032,0.0018921,0.0018921,0.0018921
17,1009.61,2.2245,1.20658,1.30869,0.71212,0.75281,0.74634,0.29263,2.18287,1.18754,1.22877,0.00187754,0.00187754,0.00187754
18,1078.78,2.16258,1.21355,1.28614,0.73352,0.79682,0.78067,0.3152,2.13537,1.15721,1.2162,0.00186213,0.00186213,0.00186213
19,1165.05,2.20793,1.18024,1.28576,0.75911,0.82584,0.82656,0.33847,2.08228,1.10056,1.21935,0.00184588,0.00184588,0.00184588
20,1245.24,2.15231,1.16687,1.275,0.80243,0.83895,0.85795,0.37237,1.99968,1.08903,1.18996,0.00182881,0.00182881,0.00182881
21,1336.36,2.14455,1.16105,1.29379,0.80382,0.85939,0.86384,0.36284,2.03118,1.05299,1.19188,0.00181093,0.00181093,0.00181093
22,1417.07,2.16345,1.14672,1.27185,0.80151,0.88015,0.87242,0.39951,1.89453,1.02287,1.14632,0.00179225,0.00179225,0.00179225
23,1492.13,2.17406,1.13698,1.27618,0.78378,0.83989,0.84782,0.37039,2.01604,1.04173,1.18425,0.00177281,0.00177281,0.00177281
