epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.5108,2.97729,1.42205,1.04751,0.38325,0.3772,0.31804,0.09452,2.86492,2.32152,1.03334,0.0678462,0.000324786,0.000324786
2,31.4238,2.80196,1.3489,0.99151,0.51664,0.45828,0.47261,0.18541,2.43561,1.36955,0.97076,0.0348136,0.000625543,0.000625543
3,46.5168,2.89742,1.3223,0.98307,0.53018,0.47653,0.49484,0.19902,2.39484,1.28963,0.96022,0.001748,0.000893299,0.000893299
4,61.7156,2.83339,1.31826,0.98558,0.54894,0.48575,0.4981,0.1977,2.44493,1.22524,0.96074,0.0008515,0.0008515,0.0008515
5,77.3036,2.75638,1.27777,0.98515,0.54995,0.47835,0.49083,0.19989,2.43709,1.18705,0.95598,0.000802,0.000802,0.000802
6,92.6592,2.84647,1.26815,0.96383,0.53808,0.47737,0.48466,0.20083,2.3869,1.11053,0.94947,0.0007525,0.0007525,0.0007525
7,108.247,2.71509,1.22339,0.97128,0.55452,0.49455,0.50281,0.21014,2.35223,1.0818,0.95038,0.000703,0.000703,0.000703
8,123.815,2.84542,1.28139,0.98014,0.62436,0.50671,0.54395,0.22985,2.30915,1.05236,0.95499,0.0006535,0.0006535,0.0006535
9,139.555,2.77569,1.21899,0.97306,0.64092,0.51844,0.55957,0.24123,2.28826,1.02915,0.95414,0.000604,0.000604,0.000604
10,154.199,2.64646,1.18859,0.96636,0.65415,0.51299,0.56603,0.25073,2.2728,1.01398,0.94831,0.0005545,0.0005545,0.0005545
11,167.647,2.47726,1.2398,0.9572,0.64085,0.516,0.5656,0.24664,2.27882,1.03369,0.94594,0.000505,0.000505,0.000505
12,180.997,2.45148,1.15155,0.95616,0.62974,0.51802,0.56057,0.24316,2.27866,1.04806,0.94641,0.0004555,0.0004555,0.0004555
13,194.159,2.39193,1.17372,0.95152,0.63898,0.51802,0.56483,0.24631,2.25382,1.03713,0.94294,0.000406,0.000406,0.000406
14,207.2,2.49796,1.17149,0.94541,0.65518,0.51676,0.57058,0.25084,2.23095,1.03153,0.93813,0.0003565,0.0003565,0.0003565
15,219.731,2.57529,1.24657,0.95281,0.65239,0.53408,0.57897,0.25816,2.18924,1.0227,0.93112,0.000307,0.000307,0.000307
16,232.66,2.49565,1.17708,0.94233,0.66315,0.53353,0.58284,0.26129,2.17883,1.01788,0.92874,0.0002575,0.0002575,0.0002575
17,245.173,2.49238,1.16631,0.93914,0.65606,0.54443,0.58633,0.26325,2.17638,1.01698,0.92881,0.000208,0.000208,0.000208
18,257.603,2.39686,1.10758,0.93902,0.66778,0.54149,0.58869,0.26537,2.17303,1.01167,0.92779,0.0001585,0.0001585,0.0001585
19,270.053,2.43432,1.14022,0.95074,0.66892,0.53856,0.58929,0.26691,2.16565,1.00361,0.92763,0.000109,0.000109,0.000109
20,282.56,2.36257,1.0825,0.94027,0.66582,0.5394,0.59033,0.26904,2.16424,1.00142,0.92813,5.95e-05,5.95e-05,5.95e-05
