epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,226.597,2.02994,1.19768,1.16501,0.75494,0.84072,0.82198,0.3254,1.90398,1.02115,1.11048,0.0670457,0.000332872,0.000332872
2,449.132,1.92696,1.02017,1.12278,0.90018,0.86626,0.89154,0.3726,1.89791,0.93042,1.11098,0.0340325,0.000653014,0.000653014
3,671.666,1.89894,0.98027,1.10793,0.87922,0.85222,0.88925,0.3705,1.91428,0.96845,1.10388,0.00100612,0.000959957,0.000959957
4,895.258,1.8786,0.97551,1.10299,0.9009,0.88669,0.90753,0.38644,1.85579,0.91973,1.09098,0.0009406,0.0009406,0.0009406
5,1121.43,1.84942,0.93358,1.08989,0.90667,0.88094,0.89943,0.38104,1.88439,0.92302,1.1065,0.0009208,0.0009208,0.0009208
6,1349.99,1.84853,0.93582,1.08881,0.9032,0.90712,0.90806,0.38789,1.81337,0.91657,1.08202,0.000901,0.000901,0.000901
7,1576.84,1.8449,0.93245,1.08926,0.90894,0.88571,0.92067,0.39882,1.82566,0.92245,1.07639,0.0008812,0.0008812,0.0008812
8,1803.39,1.82675,0.91551,1.08345,0.89978,0.89084,0.91262,0.39084,1.84135,0.9157,1.0843,0.0008614,0.0008614,0.0008614
9,2029.42,1.84248,0.92773,1.08731,0.91867,0.88765,0.91295,0.40445,1.81216,0.91446,1.0815,0.0008416,0.0008416,0.0008416
10,2252.25,1.80862,0.90224,1.07141,0.91464,0.89212,0.92504,0.40223,1.82652,0.90842,1.07469,0.0008218,0.0008218,0.0008218
11,2477.24,1.80124,0.90284,1.07066,0.90131,0.90366,0.91385,0.38073,1.8419,0.93324,1.07677,0.000802,0.000802,0.000802
12,2701.78,1.78901,0.89014,1.07267,0.91087,0.90681,0.92262,0.39566,1.84568,0.90397,1.07857,0.0007822,0.0007822,0.0007822
13,2925.25,1.80593,0.89705,1.07187,0.9158,0.89499,0.91725,0.40101,1.83232,0.90168,1.08133,0.0007624,0.0007624,0.0007624
14,3151.05,1.79801,0.89594,1.07388,0.90932,0.88733,0.91017,0.39518,1.82362,0.89836,1.08195,0.0007426,0.0007426,0.0007426
15,3378.34,1.77248,0.87293,1.05719,0.91687,0.89627,0.91991,0.41229,1.79887,0.86999,1.07207,0.0007228,0.0007228,0.0007228
16,3603.7,1.78449,0.88266,1.06553,0.92951,0.90072,0.93032,0.41281,1.80542,0.866,1.07374,0.000703,0.000703,0.000703
17,3831.62,1.77397,0.87739,1.05823,0.92036,0.90488,0.93252,0.40825,1.81061,0.894,1.06967,0.0006832,0.0006832,0.0006832
18,4064.05,1.76976,0.8877,1.0627,0.92339,0.9003,0.93275,0.41316,1.79692,0.90043,1.06408,0.0006634,0.0006634,0.0006634
19,4287.87,1.76481,0.87347,1.05868,0.91594,0.90081,0.93214,0.40499,1.83438,0.89668,1.07797,0.0006436,0.0006436,0.0006436
20,4514.48,1.77194,0.88397,1.05642,0.91689,0.90146,0.9348,0.40778,1.83435,0.89462,1.06982,0.0006238,0.0006238,0.0006238
21,4740.6,1.76168,0.87445,1.05762,0.9183,0.8902,0.93003,0.41772,1.76573,0.88437,1.06016,0.000604,0.000604,0.000604
22,4961.96,1.75442,0.87269,1.05709,0.92657,0.90216,0.93912,0.40472,1.8361,0.9105,1.0668,0.0005842,0.0005842,0.0005842
23,5184.73,1.75675,0.86647,1.0544,0.91963,0.91063,0.9309,0.40614,1.80734,0.88465,1.06741,0.0005644,0.0005644,0.0005644
24,5408.87,1.74657,0.87122,1.04998,0.92337,0.8985,0.93167,0.41888,1.77627,0.87475,1.05896,0.0005446,0.0005446,0.0005446
25,5634.18,1.76858,0.87295,1.05165,0.92375,0.91262,0.94076,0.41561,1.79299,0.89504,1.06022,0.0005248,0.0005248,0.0005248
26,5862.43,1.73196,0.85537,1.04847,0.918,0.90045,0.93284,0.4231,1.76914,0.8823,1.05563,0.000505,0.000505,0.000505
27,6089.48,1.73148,0.8608,1.04735,0.91797,0.91318,0.94099,0.4119,1.79423,0.89792,1.05457,0.0004852,0.0004852,0.0004852
28,6315.45,1.75406,0.86307,1.04941,0.92376,0.89818,0.93283,0.40643,1.81038,0.91646,1.05549,0.0004654,0.0004654,0.0004654
29,6540.4,1.7494,0.86179,1.05005,0.92474,0.91382,0.9399,0.42232,1.77399,0.87808,1.05131,0.0004456,0.0004456,0.0004456
30,6761.2,1.74365,0.85808,1.04289,0.924,0.90807,0.93913,0.40949,1.81044,0.90184,1.05846,0.0004258,0.0004258,0.0004258
31,6979.75,1.73698,0.85639,1.04433,0.93184,0.8969,0.9393,0.42037,1.7829,0.88791,1.05354,0.000406,0.000406,0.000406
32,7203.08,1.74203,0.85537,1.04324,0.92441,0.9068,0.94542,0.41888,1.79656,0.87928,1.06039,0.0003862,0.0003862,0.0003862
33,7429.8,1.72465,0.86063,1.0462,0.92421,0.90692,0.93986,0.41472,1.77978,0.88554,1.05176,0.0003664,0.0003664,0.0003664
34,7651.32,1.72058,0.84391,1.03858,0.93083,0.91127,0.94115,0.42051,1.79597,0.89676,1.05626,0.0003466,0.0003466,0.0003466
35,7874.7,1.71572,0.84825,1.03851,0.93481,0.91446,0.94895,0.42618,1.78351,0.88276,1.05253,0.0003268,0.0003268,0.0003268
36,8094.94,1.71565,0.84743,1.04358,0.92349,0.90542,0.93969,0.40366,1.85851,0.89273,1.06893,0.000307,0.000307,0.000307
37,8308.39,1.72321,0.85591,1.04391,0.93024,0.90105,0.94092,0.4212,1.77036,0.88844,1.04975,0.0002872,0.0002872,0.0002872
38,8519.11,1.73398,0.85582,1.0463,0.92616,0.90425,0.93795,0.42201,1.75876,0.89126,1.04621,0.0002674,0.0002674,0.0002674
39,8726.93,1.70581,0.84415,1.03729,0.94049,0.91095,0.95013,0.41786,1.79127,0.88471,1.05216,0.0002476,0.0002476,0.0002476
40,8933.28,1.71315,0.84981,1.04176,0.93295,0.90967,0.94797,0.43006,1.77231,0.87419,1.0527,0.0002278,0.0002278,0.0002278
41,9130.22,1.71907,0.87533,1.06524,0.92504,0.91318,0.94164,0.4251,1.77188,0.88254,1.05019,0.000208,0.000208,0.000208
42,9331.73,1.69916,0.85959,1.0613,0.93193,0.91382,0.95,0.42013,1.79551,0.88193,1.05635,0.0001882,0.0001882,0.0001882
43,9553.88,1.70285,0.85964,1.05804,0.9283,0.90903,0.94615,0.42464,1.77447,0.88643,1.04881,0.0001684,0.0001684,0.0001684
44,9765.71,1.69558,0.85769,1.05534,0.92782,0.91897,0.94528,0.40885,1.81271,0.89505,1.05629,0.0001486,0.0001486,0.0001486
45,9973.31,1.70095,0.86074,1.05966,0.92781,0.91222,0.94593,0.42231,1.76557,0.89761,1.04494,0.0001288,0.0001288,0.0001288
46,10188.1,1.69078,0.85779,1.05609,0.93209,0.91125,0.94279,0.42242,1.76478,0.88826,1.0446,0.000109,0.000109,0.000109
47,10415,1.69213,0.85495,1.05414,0.92725,0.91414,0.94236,0.41548,1.81653,0.88367,1.05896,8.92e-05,8.92e-05,8.92e-05
48,10627.4,1.68564,0.85041,1.05232,0.92966,0.91544,0.94737,0.42068,1.78454,0.88401,1.05024,6.94e-05,6.94e-05,6.94e-05
49,10835.5,1.68149,0.85047,1.05119,0.93165,0.91797,0.94811,0.42479,1.77192,0.88112,1.04654,4.96e-05,4.96e-05,4.96e-05
50,11046.9,1.67713,0.84386,1.04942,0.92854,0.91254,0.94677,0.42724,1.77049,0.87873,1.04651,2.98e-05,2.98e-05,2.98e-05
